username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
LittleRaven047,,,82,9,154,2017-11-19 18:00:10,2021-04-30 03:26:42,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
devanshugtm,I make videos on YouTube.,"New Delhi, India",40,9,53,2016-03-13 16:34:40,2021-04-30 03:26:36,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
kiovahn,,,86,7,41,2016-05-14 03:57:03,2021-04-30 03:26:28,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
ritensatra,,,16,1,23,2017-11-21 00:32:49,2021-04-30 03:26:24,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
CDFman,"If Google drops any cool products today, “I” will “O” them some money",Right behind you,987,132,6617,2014-12-16 04:13:34,2021-04-30 03:26:22,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
redwanjaved,be a voice. not an echo,"London, England",759,21,84,2011-05-15 12:02:38,2021-04-30 03:26:17,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
sr_wfh,"spread love , joy n peace","West Bengal, India",224,3,2,2021-03-08 11:33:22,2021-04-30 03:26:08,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
Karthikeyan_A_K,Personal Finance and Farming Enthusiast,Kangayam,919,21,2849,2013-07-06 17:02:38,2021-04-30 03:25:58,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
coldborders,,"Chennai, India",235,24,420,2019-10-16 03:42:43,2021-04-30 03:25:53,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
AllanIndig,,,157,15,27,2015-09-22 15:53:32,2021-04-30 03:25:49,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
s1d_h3art,"20 y/o. Tech enthusiast, blogger, love photography & music, Write about tech.
Writer @ https://t.co/JFaHkvpe7u ||
insta @s1d_h3art","Daspur, West Bengal",260,73,930,2013-12-10 14:34:06,2021-04-30 03:25:45,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
lenssenmanasae,"it's not who I am underneath, but what I do that defines me !","Tirunelveli, India",2387,32,175,2010-07-11 10:16:40,2021-04-30 03:25:44,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
_edalmond,"Enjoying life as it is, having fun while doing so.","Honolulu, Hawaii",302,50,494,2014-10-01 05:42:21,2021-04-30 03:25:40,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
perikooo,,Puebla,1759,254,7359,2009-04-11 19:21:26,2021-04-30 03:25:39,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
Abdulafnan786,,"Mumbai, India",73,3,408,2017-01-21 10:43:42,2021-04-30 03:25:34,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
benoitleger14,,Canada,396,51,90,2010-08-06 15:30:06,2021-04-30 03:25:34,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
your_nerdy1,,"Fresno, California ",42,22,120,2012-09-13 06:24:39,2021-04-30 03:25:30,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
rshnvjy,I like tech,,13,0,199,2020-12-22 04:38:31,2021-04-30 03:25:26,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
adrianblee,"Kowe ra iso mlayu soko kesalahan, ajining diri ono ing lathi",Jakarta Capital Region,243,159,4555,2009-04-18 02:30:00,2021-04-30 03:25:26,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
prashant__vaja,"Photographer by Hobby😘
Model and Travelling by Passion 💕
CONTEST FREAK 
Cricket is Life 🏏
Sports Addicted 😍","Gujarat, India",3999,1292,36824,2014-01-23 08:48:07,2021-04-30 03:25:22,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
SahilRohra14,,,174,1,59,2018-09-17 01:12:49,2021-04-30 03:25:22,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
cbosdell,"31 / Student / Employee. Intelligent, sarcastic and ambitious.",The Carolinas,288,50,2904,2010-02-23 12:50:06,2021-04-30 03:25:12,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
linkupvik,don't waste ur time checking my bio. god bless,"Patna, India",103,14,459,2011-08-14 19:52:01,2021-04-30 03:25:09,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
RealTopTechGeek,14 Year-Old Tech Nerd | Founder Of The TopTechGeek Brand | Dying To Try An @Oculus Quest 2 | Email Me! At: muneer@toptechgeek.com,In The US of A,1077,2297,5482,2019-04-17 01:11:57,2021-04-30 03:25:04,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
roney4delhi,🏇🏻 🚴🏻‍♂️🏋🏻‍♂️🤾🏻‍♂️⛹🏻‍♂️🤸🏻‍♂️🏃🏻‍♂️🚶🏻‍♂️,"New Delhi, India",1901,112,1683,2012-07-06 16:33:21,2021-04-30 03:25:02,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
marc0_apa,@ClubAmerica,My iPhone 12 Pro Max,116,61,2262,2009-06-19 21:09:48,2021-04-30 03:25:00,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
_VDrea_,We meet people for a reason they're either a blessing or a lesson.,California ,956,183,2575,2011-07-18 17:11:17,2021-04-30 03:24:59,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
LouieSerna,Dad | BBQ Eater | Tech Enthusiast | World Traveler | ΩΔΦ,,736,97,1039,2009-04-21 22:29:22,2021-04-30 03:24:56,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
jhcrystalarrow,"Eat, sleep, game",,94,4,20,2009-06-19 00:33:06,2021-04-30 03:24:55,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
champion_g_s,"☬ ᬭᬢᬸᬳᬕᬸᬂ᭢ᬲᬦ
An INFP-T
Balinese 🇮🇩
IG: @Champion_G.S |
💯% STAY
JYPe supporter",,201,33,5066,2019-01-21 13:05:12,2021-04-30 03:24:52,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
JmsBrhn,Father. Husband. Molecular biologist. Tech fan-boy,Wisconsin,280,55,418,2013-10-07 19:37:07,2021-04-30 03:24:50,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
imz784,Some I.T guy,,864,1688,50273,2014-09-25 16:50:03,2021-04-30 03:24:49,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
PokemonVibes,|  | Tᴇʀᴇsᴀ is 🥇💕 | @sweet_severine is my header❤ |,The Speed Force,1301,1269,8138,2016-02-27 03:54:09,2021-04-30 03:24:41,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
prashant__vaja,"Photographer by Hobby😘
Model and Travelling by Passion 💕
CONTEST FREAK 
Cricket is Life 🏏
Sports Addicted 😍","Gujarat, India",3999,1292,36824,2014-01-23 08:48:07,2021-04-30 03:24:40,0,"#helpindiabreathe
Awesome @tldtoday
#helpindiabreathe 🤝😷🇮🇳
Retweet Done 
Finger crossed 🤞

https://t.co/7odQwfko2Z","[{'text': 'helpindiabreathe', 'indices': [0, 17]}, {'text': 'helpindiabreathe', 'indices': [36, 53]}]"
StephennoF,Lets try something different...,"New York, NY",104,31,3665,2019-05-14 12:55:55,2021-04-30 03:24:38,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
iAbhishek79,#UPSC #APPLE,"Haryana, India",872,206,23726,2011-12-04 09:45:15,2021-04-30 03:24:34,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
lechumilkman,"hacete curtir, mariposa",,45,25,777,2018-08-08 20:08:53,2021-04-30 03:24:26,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
tushar_wal,,,47,16,126,2014-01-08 19:56:18,2021-04-30 03:24:11,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
niks96598514,iOS and jailbreaks,,126,14,519,2020-04-30 16:36:11,2021-04-30 03:24:05,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
Iamullas61,Tech Enthusiast || Follow Back 💯% || #Tech,,150,115,1254,2020-06-05 14:27:48,2021-04-30 03:24:02,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
Terminatu1,,"Cluj-Napoca, România",247,25,79,2017-01-03 14:38:28,2021-04-30 03:24:02,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
SaezTaetae,"Tae bias, but love them all💜💜🥰 be kind and helpful to others.",,376,58,2519,2014-02-12 06:34:38,2021-04-30 03:23:57,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
jyes_46,love for Tech,Bangalore,566,124,10081,2015-06-10 04:13:17,2021-04-30 03:23:55,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
TheActualTech,Daddy Tim has spoken. Tech addict. Do I need to say more?,,367,51,1822,2013-12-14 18:56:51,2021-04-30 03:23:52,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
optimus1409,GGMU🔴,,390,81,2329,2016-05-26 11:12:15,2021-04-30 03:23:47,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
Aslam_Harith,,,85,56,2092,2012-06-26 13:06:06,2021-04-30 03:23:46,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
Wolliam_,,,19,0,13,2020-07-08 11:23:14,2021-04-30 03:23:45,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
priyan_1,New to Twitter and does not really know what to do.,,89,3,5,2020-12-26 13:08:00,2021-04-30 03:23:44,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
ChocoCookiesChi,,,120,8,186,2013-11-05 20:46:47,2021-04-30 03:23:44,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
bansalkartik,,Singapore,675,77,1032,2009-05-06 10:28:27,2021-04-30 03:23:41,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
Dantastic_,,,1519,268,6767,2019-11-23 15:11:26,2021-04-30 03:23:38,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
007mk_,,,64,4,171,2017-08-07 04:49:30,2021-04-30 03:23:37,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
TheHYBIRD,"I doodle bad drawings, write illegible junk stories, and play Brawlhalla... Poorly... Not much else.",TH3 ST0RM 0F Ch@0S,61,27,2187,2008-10-16 05:24:43,2021-04-30 03:23:37,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
NAYEEMSHAH,'India🇮🇳',"Hubli, Karnataka",950,106,5184,2010-04-30 06:40:34,2021-04-30 03:23:21,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
bemused_robot,"Dota 2, Formula 1, Car and Technology enthusiast",,386,5,32,2020-04-15 08:08:24,2021-04-30 03:23:20,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
angeles_gabee,let go and let God | CLC 23 | Arise 2021,,403,173,721,2020-04-26 05:26:36,2021-04-30 03:23:18,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
vatsalksingh,Currently suffering from life,"Lucknow, India",629,43,635,2015-06-09 05:08:21,2021-04-30 03:23:17,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
MruduleshS,"Student at Allen Nagpur
#techfan",,186,2,34,2021-03-04 14:30:04,2021-04-30 03:23:15,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
