username,text,hashtags
CVDResourcesBot,"🚨#hyderabad🚨
Sri multi speciality 
Chaitanya puri
9182640071
Two icu beds available 
#Verified

Safe Hospital, Attapur 
+917893850658

Oxygen and ICU beds available

*Verified 4th May, 9.20*

#resource #hyderabad #oxygenbed
#COVIDEmergencyIndia #CovidHelp","[{'text': 'hyderabad', 'indices': [16, 26]}, {'text': 'Verified', 'indices': [100, 109]}]"
RatnakarSadas,"🚨#hyderabad🚨
Sri multi speciality 
Chaitanya puri
9182640071
Two icu beds available 
#Verified

Safe Hospital, Attapur 
+917893850658

Oxygen and ICU beds available

*Verified 4th May, 9.20*

#resource #hyderabad #oxygenbed
#COVIDEmergencyIndia #CovidHelp","[{'text': 'hyderabad', 'indices': [16, 26]}, {'text': 'Verified', 'indices': [100, 109]}]"
RatnakarSadas,"#Verified #Plasma #Hyderabad Plasma exchange is available Location: Hyderabad Contact: St. Mother Theresa blood bank (04023802255) Verified at 9:27pm, 3rd May'2021 #CovidHelp #COVIDEmergency #Covid19IndiaHelp  #CovidResources #CovidSOS #Plasmahyderabad #Plasma4Covid #PlasmaDonor","[{'text': 'Verified', 'indices': [21, 30]}, {'text': 'Plasma', 'indices': [31, 38]}, {'text': 'Hyderabad', 'indices': [39, 49]}]"
harij82,"Rabiya Nooreen:
Aditya Hospital, Uppal, Hyderabad.
4 ICU and 10 Oxygen beds available
Contact no - 9177972837

*Verified 4th May, 4:40 Pm*",[]
tanzyy01,"Rabiya Nooreen:
Aditya Hospital, Uppal, Hyderabad.
4 ICU and 10 Oxygen beds available
Contact no - 9177972837

*Verified 4th May, 4:40 Pm*",[]
Nagaraj00943990,"Oxygen Cylinders Available in Hyderabad 🙏🏻

Contact Pramod : 9700238886 ☎

He got new stock of oxygen cylinders at RTC X Roads, Hyderabad 

Verified at 03:40 PM ✔

#Covid19IndiaHelp  
#CovidHelpHyderabad",[]
NallariNaidu,"Rabiya Nooreen:
Aditya Hospital, Uppal, Hyderabad.
4 ICU and 10 Oxygen beds available
Contact no - 9177972837

*Verified 4th May, 4:40 Pm*",[]
CVDResourcesBot,"AVAILABLE - Beds in #Hyderabad. 

200+ Beds with Oxygen available at TRR Medical Institute of Sciences, Hyderabad. Contact: 98490 38188 

Verified at 12:20 AM, today. 

#Covid19IndiaHelp #CovidIndia","[{'text': 'Hyderabad', 'indices': [34, 44]}]"
nare700,"AVAILABLE - Beds in #Hyderabad. 

200+ Beds with Oxygen available at TRR Medical Institute of Sciences, Hyderabad. Contact: 98490 38188 

Verified at 12:20 AM, today. 

#Covid19IndiaHelp #CovidIndia","[{'text': 'Hyderabad', 'indices': [34, 44]}]"
CVDResourcesBot,"AVAILABLE - #OxygenBeds in #Hyderabad. #Telangana #COVIDEmergency 

11 oxygen beds available in Maha hospitals Jubilee Hills. 

Contact: Mr. Ravi - 9000245391. 

Verified at 5:28 PM today.","[{'text': 'OxygenBeds', 'indices': [26, 37]}, {'text': 'Hyderabad', 'indices': [41, 51]}, {'text': 'Telangana', 'indices': [53, 63]}, {'text': 'COVIDEmergency', 'indices': [64, 79]}]"
