username,text,hashtags
sunilkalyan08,This is verified. Please RT . For oxygen cylinders contact at Hyderabad. https://t.co/z6cf2DMNiY,[]
MRoopchand143,"AVAILABLE: #OxygenBeds in #Hyderabad

Safe hospital Athapur has 10 oxygen beds, allowing patient only with 90+ saturation.

Contact number: 78938 50658

Verified at 10:50 PM. #COVIDEmergency #COVID19India","[{'text': 'OxygenBeds', 'indices': [25, 36]}, {'text': 'Hyderabad', 'indices': [40, 50]}]"
TarakVenky_Fan,"HYDERABAD OXYGEN BEDS AVAILABLE

Vitality Hospital Vivekananda Colony, Kukatpally.
Contact: +91 40 4917 0134

Verified at 12.10 am.

#CovidHelp #Hyderabad",[]
RokingRaj12,"HYDERABAD OXYGEN BEDS AVAILABLE

Vitality Hospital Vivekananda Colony, Kukatpally.
Contact: +91 40 4917 0134

Verified at 12.10 am.

#CovidHelp #Hyderabad",[]
Arya9_,"HYDERABAD OXYGEN BEDS AVAILABLE

Vitality Hospital Vivekananda Colony, Kukatpally.
Contact: +91 40 4917 0134

Verified at 12.10 am.

#CovidHelp #Hyderabad",[]
akhila__akki,"HYDERABAD OXYGEN BEDS AVAILABLE

Vitality Hospital Vivekananda Colony, Kukatpally.
Contact: +91 40 4917 0134

Verified at 12.10 am.

#CovidHelp #Hyderabad",[]
Ruthless_Cult,"AVAILABLE: #OxygenBeds in #Hyderabad

Safe hospital Athapur has 10 oxygen beds, allowing patient only with 90+ saturation.

Contact number: 78938 50658

Verified at 10:50 PM. #COVIDEmergency #COVID19India","[{'text': 'OxygenBeds', 'indices': [25, 36]}, {'text': 'Hyderabad', 'indices': [40, 50]}]"
snmgta,"AVAILABLE - #OxygenBeds in #Hyderabad. #Telangana #COVIDEmergency 

11 oxygen beds available in Maha hospitals Jubilee Hills. 

Contact: Mr. Ravi - 9000245391. 

Verified at 5:28 PM today.","[{'text': 'OxygenBeds', 'indices': [26, 37]}, {'text': 'Hyderabad', 'indices': [41, 51]}, {'text': 'Telangana', 'indices': [53, 63]}, {'text': 'COVIDEmergency', 'indices': [64, 79]}]"
manjunadh_20,This is verified. Please RT . For oxygen cylinders contact at Hyderabad. https://t.co/z6cf2DMNiY,[]
hydcovid19,"@fais5s @beds_covid 2 (non oxygen) beds available in at save hospital, #Hyderabad
Contact : 98100582795
Verified at 8:30pm, April 30th.","[{'text': 'Hyderabad', 'indices': [92, 102]}]"
shiv9412,This is verified. Please RT . For oxygen cylinders contact at Hyderabad. https://t.co/z6cf2DMNiY,[]
endobba,This is verified. Please RT . For oxygen cylinders contact at Hyderabad. https://t.co/z6cf2DMNiY,[]
Venkatesh0029,"HYDERABAD OXYGEN BEDS AVAILABLE

Vitality Hospital Vivekananda Colony, Kukatpally.
Contact: +91 40 4917 0134

Verified at 12.10 am.

#CovidHelp #Hyderabad",[]
snmgta,"AVAILABLE: #OxygenBeds in #Hyderabad

Safe hospital Athapur has 10 oxygen beds, allowing patient only with 90+ saturation.

Contact number: 78938 50658

Verified at 10:50 PM. #COVIDEmergency #COVID19India","[{'text': 'OxygenBeds', 'indices': [25, 36]}, {'text': 'Hyderabad', 'indices': [40, 50]}]"
deepak_1705,This is verified. Please RT . For oxygen cylinders contact at Hyderabad. https://t.co/z6cf2DMNiY,[]
Disshhaaaa,"HYDERABAD OXYGEN BEDS AVAILABLE

Vitality Hospital Vivekananda Colony, Kukatpally.
Contact: +91 40 4917 0134

Verified at 12.10 am.

#CovidHelp #Hyderabad",[]
FighterSurya,This is verified. Please RT . For oxygen cylinders contact at Hyderabad. https://t.co/z6cf2DMNiY,[]
Abhiman90958276,"HYDERABAD OXYGEN BEDS AVAILABLE

Vitality Hospital Vivekananda Colony, Kukatpally.
Contact: +91 40 4917 0134

Verified at 12.10 am.

#CovidHelp #Hyderabad",[]
sidheart_only,"AVAILABLE - #OxygenBeds in #Hyderabad. #Telangana #COVIDEmergency 

11 oxygen beds available in Maha hospitals Jubilee Hills. 

Contact: Mr. Ravi - 9000245391. 

Verified at 5:28 PM today.","[{'text': 'OxygenBeds', 'indices': [33, 44]}, {'text': 'Hyderabad', 'indices': [48, 58]}, {'text': 'Telangana', 'indices': [60, 70]}, {'text': 'COVIDEmergency', 'indices': [71, 86]}]"
Abhiman90958276,"It’s A Verified Case !!

Need AB +Ve Plasma !!
Place : Virinchi Hospitals,Banjara Hills Hyderabad

If You Have Any Lead Please Contact :
7013103078, 9985907128 !! 👍👍

#Covid19IndiaHelp #Covid19Hyderabad #IndiaFightsCOVID19 https://t.co/HsNValOjHM",[]
srinukorada23,"AVAILABLE: #OxygenBeds in #Hyderabad

Safe hospital Athapur has 10 oxygen beds, allowing patient only with 90+ saturation.

Contact number: 78938 50658

Verified at 10:50 PM. #COVIDEmergency #COVID19India","[{'text': 'OxygenBeds', 'indices': [25, 36]}, {'text': 'Hyderabad', 'indices': [40, 50]}]"
